EVENTO,PROVINCIA,SUBEVENTO,EDAD,GENERO,PROVINCIA_USER,ESCALA,P1,P2,P3,P4,P5,P6,C1,C2,C3,C4,C5,C6,C7,E1,E2,E3,E4,E5,E6
noche2019,Granada,TallerMonuMAI,18,Hombre,Sevilla,13,1.0,,,,,,13.0,,,,,,,1.0,,,,13.0,1.0
noche2019,Granada,TallerMonuMAI,35,Hombre,Granada,13,13.0,,10.0,,13.0,,,,,1.0,,,,,13.0,,,1.0,
noche2019,Granada,TallerMonuMAI,20,Mujer,Huelva,13,13.0,9.0,,,,,1.0,,5.0,,,,,7.0,,,,,
noche2019,Granada,TallerMonuMAI,15,Mujer,Jaen,13,,,13.0,,4.0,,,10.0,,,,1.0,,,1.0,,,1.0,
noche2019,Granada,TallerMonuMAI,16,Mujer,Almeria,13,,,,13.0,,,13.0,,,,1.0,,,13.0,,,,1.0,1.0
noche2019,Granada,TallerMonuMAI,31,Hombre,Cordoba,13,13.0,,13.0,,,13.0,13.0,,,,,,,13.0,,,,,
noche2019,Granada,TallerMonuMAI,32,Hombre,Cadiz,13,13.0,,,13.0,,,13.0,,,13.0,,,,13.0,,,,,
noche2019,Granada,TallerUrano,30,Mujer,Madrid,13,9.0,,13.0,,13.0,13.0,,13.0,,,,3.0,,,1.0,,,,
noche2019,Granada,TallerUrano,30,Mujer,Toledo,13,13.0,13.0,13.0,13.0,13.0,13.0,1.0,,,,,,,1.0,,,,,
noche2019,Granada,TallerUrano,29,Mujer,Sevilla,13,5.0,,1.0,,,,,9.0,,,9.0,,,1.0,,,,,
noche2019,Granada,TallerUrano,28,Hombre,Granada,13,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,7.0
noche2019,Granada,TallerUrano,35,Hombre,Huelva,13,,,1.0,,,,13.0,,,7.0,,1.0,,,,,,,1.0
noche2019,Sevilla,TallerMonuMAI,36,Mujer,Jaen,13,13.0,,,,,,5.0,9.0,,11.0,,,,1.0,,,,,1.0
noche2019,Sevilla,TallerMonuMAI,36,Mujer,Almeria,13,13.0,13.0,,,,,13.0,13.0,,,,,,13.0,13.0,,,,
noche2019,Sevilla,TallerMonuMAI,35,Mujer,Cordoba,13,13.0,,1.0,,1.0,,13.0,,,11.0,,,11.0,1.0,,,1.0,,1.0
noche2019,Jaen,TallerMonuMAI,39,Hombre,Cadiz,13,13.0,1.0,13.0,7.0,7.0,7.0,13.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,,,13.0,13.0
noche2019,Jaen,TallerMonuMAI,40,Hombre,Madrid,13,13.0,,13.0,13.0,,13.0,10.0,,10.0,10.0,,,1.0,1.0,4.0,,,10.0,10.0
noche2019,Jaen,TallerMonuMAI,44,Mujer,Toledo,13,13.0,,9.0,,,,13.0,,,5.0,,,,13.0,,,,,
noche2019,Jaen,TallerMonuMAI,43,Mujer,Sevilla,13,13.0,13.0,13.0,,,,,13.0,13.0,,,,,13.0,13.0,,,13.0,
noche2019,Jaen,TallerMonuMAI,43,Mujer,Granada,13,,13.0,13.0,,,,13.0,13.0,13.0,,,,,13.0,,,,,
noche2019,Jaen,TallerMonuMAI,20,Hombre,Huelva,13,13.0,,,,,,13.0,,,,1.0,,,13.0,,,,,1.0
noche2019,Cordoba,TallerMonuMAI,31,Hombre,Jaen,13,13.0,,13.0,,,,13.0,,,,,,,13.0,13.0,,,,
noche2019,Cordoba,TallerMonuMAI,19,Mujer,Almeria,13,9.0,,13.0,,13.0,13.0,,13.0,,,,3.0,,,1.0,,,,
noche2019,Cordoba,TallerMonuMAI,19,Mujer,Cordoba,13,13.0,13.0,13.0,13.0,13.0,13.0,1.0,,,,,,,1.0,,,,,
noche2019,Cordoba,TallerMonuMAI,60,Mujer,Cadiz,13,5.0,,1.0,,,,,9.0,,,9.0,,,1.0,,,,,
noche2019,Cordoba,TallerMonuMAI,32,Hombre,Madrid,13,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,7.0
noche2019,Cordoba,TallerMonuMAI,20,Hombre,Toledo,13,,,1.0,,,,13.0,,,7.0,,1.0,,,,,,,1.0
noche2019,Cordoba,TallerMonuMAI,20,Mujer,Sevilla,13,13.0,,,,,,5.0,9.0,,11.0,,,,1.0,,,,,1.0
noche2019,Cordoba,TallerMonuMAI,15,Mujer,Granada,13,13.0,13.0,,,,,13.0,13.0,,,,,,13.0,13.0,,,,
noche2019,Cordoba,TallerMonuMAI,56,Mujer,Huelva,13,13.0,,1.0,,1.0,,13.0,,,11.0,,,11.0,1.0,,,,,1.0
