EVENTO,ACTIVIDAD,"TIPO DE ACTIVIDAD",TIMESTAMP,ALIAS,EDAD,GENERO,PROVINCIA,Q1,Q2,Q3,ESCALA,"Ponente - Vocalización","Ponente - Claridad de las expresiones","Ponente - Cercanía","Ponente - Dominio del tema","Ponente - Atención a la audiencia","Ponente - Facilidad de palabra","Tema - Claridad del contenido","Tema - Claridad de las transparencias","Tema - Adaptado al nivel","Tema - Aplicabilidad","Tema - Ejemplos prácticos","Evento - Duración","Evento - Tema","Evento - Accesibilidad","Tecnología - Accesibilidad","Lugar - Sala/Lugar","Lugar - Medios técnicos","Lugar - Iluminación","Lugar - Temperatura","Lugar - Ruido","Materiales - Atractivos","Materiales - Adecuados","Materiales - Divertidos"
Night23-Granada,"Una app para evaluar eventos de divulgación científica: DIME+",Charlas,1696006624,128,51,Mujer,Granada,si,si,si,3,,,,,,,,6+3:3,5+3:3,,,2-1:1,,1+3:3,3+3:3,,,,,,,4+3:3,
Night23-Granada,"Una app para evaluar eventos de divulgación científica: DIME+",Charlas,1696007055,133,41,Hombre,Granada,si,si,si,3,,3+3:3,,,,,,4+3:3,,,,1+3:3,6+3:3,,5+3:3,,2+3:3,,,,,,
Night23-Granada,"Una app para evaluar eventos de divulgación científica: DIME+",Charlas,1696013221,121,40,Hombre,Granada,si,si,si,7,6+3:5,3+4:7,2+4:7,4+4:7,1+4:7,5+4:7,10+5:7,9+5:7,7+5:7,8+5:7,11+5:7,13-1:4,14+4:7,12-1:4,,18-1:4,16-1:3,15-1:5,19-1:5,17-5:7,,,
Night23-Granada,"Una app para evaluar eventos de divulgación científica: DIME+",Charlas,1696076393,142,49,Mujer,Granada,si,si,si,5,,,3+5:5,,,,,,,,,,1+5:5,,2+5:5,5+5:5,4+3:3,,,,6+4:4,,
Night23-Granada,"La naturaleza, inspiradora de Inteligencia Artificial",Charlas,1696007989,137,25,Hombre,Granada,si,si,si,3,,,,,5+2:2,,,3+2:2,,,,,1+2:2,,6+1:1,,,,4-1:1,2-2:2,,,
Night23-Granada,"Inteligencia Artificial: entre el mito y la realidad",Charlas,1696002440,117,48,Mujer,Granada,si,si,si,3,,5+3:3,2+3:3,6+3:3,,,,,,,,,1+3:3,,3+2:2,,,,,4-2:2,,,
Night23-Granada,"Inteligencia Artificial: entre el mito y la realidad",Charlas,1696002572,120,19,Mujer,Granada,si,si,si,3,,1+3:3,,,,2+3:3,,,4+2:2,,,6+3:3,,,,,,,,5+3:3,,3+3:3,
Night23-Granada,"Inteligencia Artificial: entre el mito y la realidad",Charlas,1696003441,123,20,Mujer,Granada,si,si,no,5,,,,1+4:4,3+4:4,,,,,4+5:5,6+4:4,,,,5+1:3,,2-4:4,,,,,,
Night23-Granada,"Inteligencia Artificial: entre el mito y la realidad",Charlas,1696003495,124,19,Mujer,Granada,si,si,si,7,,,,,3+7:7,2+7:7,,,,,,,5+6:6,4+6:6,,,,,1-7:7,,6+5:5,,
Night23-Granada,"Inteligencia Artificial: entre el mito y la realidad",Charlas,1696003560,125,19,Hombre,Granada,si,si,si,5,,3+5:5,,1+5:5,4+5:5,,,,,,,,2+5:5,,,,6+5:5,,,,5+5:5,,
Night23-Granada,"Inteligencia Artificial: entre el mito y la realidad",Charlas,1696004130,127,19,Hombre,Granada,si,si,si,5,,,,,4+5:5,,,,6+4:4,,,3+4:4,,,5+4:4,,,2+5:5,,,,1+5:5,
Night23-Granada,"Inteligencia Artificial: entre el mito y la realidad",Charlas,1696004151,126,21,Hombre,Granada,si,si,si,5,,,,4+5:5,,,,,5+5:5,,1+5:5,2+5:5,,,6+5:5,,,,,,,3+3:3,
Night23-Granada,"Inteligencia Artificial: entre el mito y la realidad",Charlas,1696004393,128,51,Mujer,Granada,si,si,si,3,,2+3:3,4+3:3,5+3:3,,,,,6+3:3,,,,1+3:3,,,,3+3:3,,,,,,
Night23-Granada,"Inteligencia Artificial: entre el mito y la realidad",Charlas,1696005737,129,25,Hombre,Granada,si,si,si,3,,,2+3:3,,3+3:3,,,,,,,,1+3:3,,,,,,6-3:3,5-2:2,,,4+3:3
Night23-Granada,"Inteligencia Artificial: entre el mito y la realidad",Charlas,1696007186,133,41,Hombre,Granada,si,si,si,3,,,3+3:3,5+3:3,,,,,,,4+3:3,2+3:3,1+3:3,,6+3:3,,,,,,,,
Night23-Granada,"SintonIA: la IA en las ondas",Charlas,1696001809,117,48,Mujer,Granada,si,si,si,3,4+3:3,,,,3+3:3,,5+3:3,,,,,,2+3:3,,1+3:3,7-2:2,,,,6-1:1,,,
Night23-Granada,"SintonIA: la IA en las ondas",Charlas,1696003560,122,38,Hombre,Granada,si,si,si,3,,3+2:2,,,,,6+3:3,,,,,1+2:2,,,4+2:2,,,2+3:3,,,5+3:3,,
Night23-Granada,"SintonIA: la IA en las ondas",Charlas,1696003872,121,40,Hombre,Granada,si,si,si,7,6+3:6,2+7:7,5+4:7,4+5:7,3+5:5,1+6:6,13+4:7,,12+7:7,14+3:5,,8-1:4,9+5:7,7+4:6,,10+5:5,11-1:4,,,,15+3:5,,16+5:7
Night23-Granada,"Construyendo el Futuro: El Poder del Gemelo Digital en Edificios",Charlas,1696005576,130,19,Mujer,Granada,si,si,si,5,,,,3+5:5,,,5+4:4,,,,,1-5:5,,6+3:3,,,4+4:4,,,,2+5:5,,
Night23-Granada,"Construyendo el Futuro: El Poder del Gemelo Digital en Edificios",Charlas,1696005822,129,25,Hombre,Granada,si,si,si,3,,,2+2:2,,,,,,3+2:2,,,,,6+2:2,,,,,5-3:3,4-2:2,,,1+3:3
